"Sequencing.Depth","Evenness.distribution","n","mean","sd"
"10","2",9,1.44444444444444,1.87823794493077
"10","3",9,2.44444444444444,2.74367960552572
"30","2",9,1.33333333333333,1.4142135623731
"30","3",9,2.77777777777778,1.56347191994114
"60","2",9,2.11111111111111,1.36422546197874
"60","3",9,3.55555555555556,3.35824027993498
"120","2",9,2.88888888888889,2.47206616236522
"120","3",9,2.88888888888889,3.75647588986155
"180","2",9,2.44444444444444,2.83333333333333
"180","3",9,2.44444444444444,2.50554939639548
