"Evenness.distribution","Taxonomy.distribution","group1","group2","n1","n2","p","p.adj","p.adj.signif"
"2","C","8K","DT",3,3,0.835,1,"ns"
"2","C","8K","MM",3,3,0.835,1,"ns"
"2","C","DT","MM",3,3,1,1,"ns"
"2","N","8K","DT",3,3,0.114,0.342,"ns"
"2","N","8K","MM",3,3,0.093,0.278,"ns"
"2","N","DT","MM",3,3,0.725,1,"ns"
"2","V","8K","DT",3,3,0.835,1,"ns"
"2","V","8K","MM",3,3,0.686,1,"ns"
"2","V","DT","MM",3,3,0.725,1,"ns"
"3","C","8K","DT",3,3,0.088,0.263,"ns"
"3","C","8K","MM",3,3,0.093,0.278,"ns"
"3","C","DT","MM",3,3,0.686,1,"ns"
"3","N","8K","DT",3,3,0.003,0.009,"**"
"3","N","8K","MM",3,3,0.003,0.009,"**"
"3","N","DT","MM",3,3,1,1,"ns"
"3","V","8K","DT",3,3,0.276,0.828,"ns"
"3","V","8K","MM",3,3,0.318,0.954,"ns"
"3","V","DT","MM",3,3,0.686,1,"ns"
"4","C","8K","DT",3,3,0.835,1,"ns"
"4","C","8K","MM",3,3,0.835,1,"ns"
"4","C","DT","MM",3,3,1,1,"ns"
"4","N","8K","DT",3,3,0.038,0.113,"ns"
"4","N","8K","MM",3,3,0.013,0.04,"*"
"4","N","DT","MM",3,3,0.423,1,"ns"
"4","V","8K","DT",3,3,0.835,1,"ns"
"4","V","8K","MM",3,3,0.686,1,"ns"
"4","V","DT","MM",3,3,0.725,1,"ns"
"5","C","8K","DT",3,3,0.125,0.375,"ns"
"5","C","8K","MM",3,3,0.104,0.312,"ns"
"5","C","DT","MM",3,3,0.779,1,"ns"
"5","N","8K","DT",3,3,0.408,1,"ns"
"5","N","8K","MM",3,3,0.408,1,"ns"
"5","N","DT","MM",3,3,1,1,"ns"
"5","V","8K","DT",3,3,0.088,0.263,"ns"
"5","V","8K","MM",3,3,0.103,0.309,"ns"
"5","V","DT","MM",3,3,0.519,1,"ns"
