Community,Domain,Phylym,Reference,Very Closely Related,Close Related
A,Bacteria,Proteobacteria,Acetobacter aceti,Acetobacter persici,Gluconacetobacter diazotrophicus
A,Bacteria,Proteobacteria,Taylorella asinigenitalis,Taylorella equigenitalis,Bordetella bronchiseptica
A,Bacteria,Aquificae,Thermocrinis albus,Thermocrinis ruber,Hydrogenobacter thermophilus
A,Bacteria,Firmicutes,Anoxybacillus flavithermus,Anoxybacillus gonensis,Geobacillus thermocatenulatus
A,Bacteria,Chlorobi,Chlorobium limicola,Chlorobium luteolum,Prosthecochloris aestuarii
A,Bacteria,Proteobacteria,Cronobacter sakazakii,Cronobacter universalis,Citrobacter koseri
A,Bacteria,Actinobacteria,Gordonia bronchialis,Gordonia polyisoprenivorans,Rhodococcus aetherivorans
A,Bacteria,Proteobacteria,Ensifer adhaerens,Sinorhizobium fredii,Agrobacterium radiobacter
A,Bacteria,Proteobacteria,Celeribacter indicus,Celeribacter marinus,Antarctobacter heliothermus
A,Bacteria,Bacteroidota,Elizabethkingia anophelis,Elizabethkingia meningoseptica,Chryseobacterium piperi
A,Archaea,Euryarchaeota,Archaeoglobus fulgidus,Archaeoglobus veneficus,Ferroglobus placidus
A,Archaea,Euryarchaeota,Haloferax mediterranei,Haloferax volcanii,Halogeometricum borinquense
B,Bacteria,Proteobacteria,Bordetella flabilis,Bordetella petrii,Achromobacter insolitus
B,Bacteria,Firmicutes,Bacillus amyloliquefaciens,Bacillus paralicheniformis,Aeribacillus pallidus
B,Bacteria,Actinobacteria,Bifidobacterium breve,Bifidobacterium kashiwanohense,Gardnerella vaginalis
B,Bacteria,Actinobacteria,Corynebacterium mustelae,Corynebacterium vitaeruminis,Lawsonella clevelandensis
B,Archaea,Crenarchaeota,Desulfurococcus mucosus,Desulfurococcus kamchatkensis,Staphylothermus hellenicus
B,Bacteria,Gammaproteobacteria,Citrobacter amalonaticus,Citrobacter farmeri,Kosakonia oryzae
B,Archaea,Euryarchaeota,Haloarcula marismortui,Halomicrobium mukohataei,Halorhabdus utahensis
B,Bacteria,Proteobacteria,Helicobacter bilis,Helicobacter cinaedi,Wolinella succinogenes
B,Bacteria,Actinobacteria,Pseudarthrobacter phenanthrenivorans,Pseudarthrobacter sulfonivorans,Sinomonas atrocyanea
B,Bacteria,Proteobacteria,Octadecabacter antarcticus,Octadecabacter temperatus,Brucella ovis
B,Bacteria,Bacteroidota,Chryseobacterium gallinarum,Chryseobacterium indologenes,Riemerella anatipestifer
B,Bacteria,Proteobacteria,Erythrobacter flavus,Erythrobacter gangjinensis,Altererythrobacter atlanticus
C,Bacteria,Acidobacteria,Granulicella mallensis,Granulicella tundricola,Terriglobus roseus
C,Bacteria,Spirochaetes,Borrelia anserina,Borrelia duttonii,Borreliella chilensis
C,Bacteria,Proteobacteria,Burkholderia glumae,Burkholderia stagnalis,Pandoraea thiooxydans
C,Bacteria,Proteobacteria,Brevundimonas subvibrioides,Brevundimonas vesicularis,Caulobacter crescentus
C,Bacteria,Chlamydiae,Chlamydia muridarum,Chlamydia suis,Chlamydophila pecorum
C,Bacteria,Proteobacteria,Plesiomonas shigelloides,Klebsiella quasipneumoniae,Erwinia gerundensis
C,Archaea,Euryarchaeota,Methanosarcina siciliae,Methanosarcina vacuolata,Methanococcoides methylutens
C,Bacteria,Proteobacteria,Mesorhizobium amorphae,Mesorhizobium ciceri,Nitratireductor basaltis
C,Bacteria,Proteobacteria,Paracoccus aminophilus,Paracoccus yeei,Rhodobacter capsulatus
C,Archaea,Crenarchaeota,Vulcanisaeta distributa,Vulcanisaeta moutnovskia,Thermoproteus uzoniensis
C,Bacteria,Thermotogae,Thermotoga caldifontis,Thermotoga petrophila,Pseudothermotoga thermarum
C,Bacteria,Cyanobacteria,Nostoc azollae,Nostoc punctiforme,Anabaena cylindrica
