"Community","Evenness_distribution","Taxonomic_distribution","Sequencing_depth","Pipeline","Found.percentage"
"A","2","C","60","8K","0.0833333333333333"
"A","2","C","60","DT","0.333333333333333"
"A","2","C","60","MM","0.166666666666667"
"A","2","V","60","8K","0.0833333333333333"
"A","2","V","60","DT","0.25"
"A","2","V","60","MM","0.166666666666667"
"A","3","C","60","8K","0.25"
"A","3","C","60","DT","0.5"
"A","3","C","60","MM","0.25"
"A","3","V","60","8K","0.166666666666667"
"A","3","V","60","DT","0.5"
"A","3","V","60","MM","0.25"
"A","4","C","60","8K","0.0833333333333333"
"A","4","C","60","DT","0.25"
"A","4","C","60","MM","0.166666666666667"
"A","4","V","60","8K","0.0833333333333333"
"A","4","V","60","DT","0.333333333333333"
"A","4","V","60","MM","0.166666666666667"
"A","5","C","60","8K","0.25"
"A","5","C","60","DT","0.583333333333333"
"A","5","C","60","MM","0.333333333333333"
"A","5","V","60","8K","0.166666666666667"
"A","5","V","60","DT","0.5"
"A","5","V","60","MM","0.333333333333333"
"B","2","C","60","8K","0.0833333333333333"
"B","2","C","60","DT","0.166666666666667"
"B","2","C","60","MM","0.0833333333333333"
"B","2","V","60","8K","0.0833333333333333"
"B","2","V","60","DT","0.166666666666667"
"B","2","V","60","MM","0.25"
"B","3","C","60","8K","0.0833333333333333"
"B","3","C","60","DT","0.416666666666667"
"B","3","C","60","MM","0"
"B","3","V","60","8K","0.0833333333333333"
"B","3","V","60","DT","0.333333333333333"
"B","3","V","60","MM","0.333333333333333"
"B","4","C","60","8K","0.0833333333333333"
"B","4","C","60","DT","0.0833333333333333"
"B","4","C","60","MM","0.166666666666667"
"B","4","V","60","8K","0.0833333333333333"
"B","4","V","60","DT","0.166666666666667"
"B","4","V","60","MM","0.166666666666667"
"B","5","C","60","8K","0.166666666666667"
"B","5","C","60","DT","0.333333333333333"
"B","5","C","60","MM","0.166666666666667"
"B","5","V","60","8K","0.0833333333333333"
"B","5","V","60","DT","0.25"
"B","5","V","60","MM","0.166666666666667"
"C","2","C","60","8K","0.0833333333333333"
"C","2","C","60","DT","0.333333333333333"
"C","2","C","60","MM","0.25"
"C","2","V","60","8K","0"
"C","2","V","60","DT","0.25"
"C","2","V","60","MM","0.333333333333333"
"C","3","C","60","8K","0"
"C","3","C","60","DT","0.25"
"C","3","C","60","MM","0.333333333333333"
"C","3","V","60","8K","0.0833333333333333"
"C","3","V","60","DT","0.0833333333333333"
"C","3","V","60","MM","0.416666666666667"
"C","4","C","60","8K","0.0833333333333333"
"C","4","C","60","DT","0.25"
"C","4","C","60","MM","0.25"
"C","4","V","60","8K","0"
"C","4","V","60","DT","0.166666666666667"
"C","4","V","60","MM","0.333333333333333"
"C","5","C","60","8K","0.0833333333333333"
"C","5","C","60","DT","0.25"
"C","5","C","60","MM","0.333333333333333"
"C","5","V","60","8K","0"
"C","5","V","60","DT","0.166666666666667"
"C","5","V","60","MM","0.25"
